"Qizhan, Zhu","16' H X 6' 2"" W Framed","-122.4163842,37.7802635",Museum : Asian Art Museum,Ink and watercolor on paper on silk mounting,San Francisco Arts Commission,Grapevine
"Lin, Maya",,"-122.4661846,37.7699161",Museum : California Academy of Science,,San Francisco Arts Commission,What's Missing
"Defeo, Jay",96,"-122.467485,37.771673",Museum : deYoung,"Mixed media on masonite; oil, plaster, tape, hardboard.",San Francisco Arts Commission,Loop Series 4: Masquerade in Black
"Piazzoni, Gottardo Fidele Ponziano",6' X 11',"-122.467485,37.771673",Museum : deYoung Museum,Oil on canvas,San Francisco Arts Commission,Night
"Walter, Edgar","24"" in diameter","-122.4661846,37.7699161",Museum : District 1 : GGP : Academy of Sciences,Bronze,San Francisco Arts Commission,Ignatz and Sigmund Steinhart (1840-1917)
"Lin, Maya",,"-122.4835193,37.76904",Museum : GGP : CA Academy of Sciences : West patio,Marine grade stainless steel,San Francisco Arts Commission,Where the Land Meets the Sea
"Volz, Herman",50' H X 45' W,"-122.451725,37.7277894",Public Display : CCSF : Ocean Campus : Science Building : North and South Exteri,Mosaic,San Francisco Arts Commission,Education (Organic and Inorganic Science)
"Hsu, Joyce",,"-122.4194155,37.7749295",Public Display : District 1 : Argone Playground : 18th Ave. and Anza,Aluminum,San Francisco Arts Commission,Incomplete Metamorphosis
"Moxom, Jack",4'H,"-122.4194155,37.7749295",Public Display : District 1 : GGP : Children's Playground : west of carousel,Sandstone,San Francisco Arts Commission,Sarah B. Cooper Memorial
"Happersberger, Frank",apron/base/pedestal: 16' H X 17' W X 17' D; sculpture (Garfield): approx. 8' H;,"-122.4194155,37.7749295",Public Display : District 1 : GGP : Conservatory lawn,Bronze and granite,San Francisco Arts Commission,James A. Garfield (1831-1881)
"Tilden, Douglas",,"-122.4825878,37.7700645",Public Display : District 1 : GGP : JFK,Bronze,San Francisco Arts Commission,Ball Thrower
"Grafly, Charles",,"-122.4738817,37.771224",Public Display : District 1 : GGP : JFK at Stowe Lake Drive,Bronze,San Francisco Arts Commission,Pioneer Mother
"Dore, Paul Gustave","11' H X 6' 8"" W X 6' 8"" D","-122.4666711,37.7703537",Public Display : District 1 : GGP : Music Concourse,Bronze,San Francisco Arts Commission,La poeme de la vigne
"Patigian, Haig",8' H,"-122.4666711,37.7703537",Public Display : District 1 : GGP : Music Concourse,Bronze,San Francisco Arts Commission,General John J. Pershing (1860-1948)
"Perry, R. Hinton","48""","-122.4666711,37.7703537",Public Display : District 1 : GGP : Music Concourse,Bronze,San Francisco Arts Commission,Lion
"Schmid, Rupert",,"-122.4666711,37.7703537",Public Display : District 1 : GGP : Music Concourse,Bronze,San Francisco Arts Commission,General Ulysses Simpson Grant (1822-1885)
"Tilden, Douglas",6' H,"-122.4666711,37.7703537",Public Display : District 1 : GGP : Music Concourse,Bronze,San Francisco Arts Commission,Padre Junipero Serra (1713-1784)
